VentaID,FechaVenta,Anio,MesNumero,MesNombre,ClienteID,ClienteNombre,SegmentoCliente,IndustriaCliente,ProductoID,ProductoNombre,CategoriaProducto,MarcaProducto,RegionID,RegionNombre,Pais,ResponsableRegionEmail,VendedorID,VendedorNombre,CanalVenta,EstadoPedido,MetodoPago,Cantidad,PrecioUnitario,CostoUnitario,DescuentoPct,ImporteBruto,ImporteDescuento,ImporteNeto,CostoTotal,Margen,FechaCarga
VEN-00011,2026-04-24,2026,4,Abril,C003,Fabrikam Digital,Corporate,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V004,Miguel Santos,Online,Completado,Transferencia,12,13.70,4.10,0.03,164.40,4.93,159.47,49.20,110.27,2026-08-05
VEN-00012,2026-05-29,2026,5,Mayo,C010,Blue Yonder Airlines,Enterprise,travel,P007,DP-600 Exam Prep,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V002,Carlos Molina,Enterprise Sales,Pendiente,Orden de compra,11,420.00,95.00,0.03,4620.00,138.60,4481.40,1045.00,3436.40,2026-08-05
VEN-00013,2026-05-28,2026,5,Mayo,C008,Wide World Importers,Enterprise,distribution,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V004,Miguel Santos,Online,Cancelado,Transferencia,7,820.00,510.00,0.08,5740.00,459.20,5280.80,3570.00,1710.80,2026-08-05
VEN-00014,2026-02-16,2026,2,Febrero,C009,Graphic Design Institute,Corporate,education,P002,Power BI Pro,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V002,Carlos Molina,Online,Completado,Orden de compra,4,13.70,4.10,0.05,54.80,2.74,52.06,16.40,35.66,2026-08-05
VEN-00015,2026-01-20,2026,1,Enero,C007,Tailspin Toys,SMB,retail,P006,Data Engineering Workshop,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Marketplace,Pendiente,Transferencia,12,680.00,180.00,0.00,8160.00,0.00,8160.00,2160.00,6000.00,2026-08-05
VEN-00016,2026-01-05,2026,1,Enero,C010,Blue Yonder Airlines,Enterprise,travel,P007,DP-600 Exam Prep,Training,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Marketplace,Completado,Tarjeta,2,420.00,95.00,0.08,840.00,67.20,772.80,190.00,582.80,2026-08-05
VEN-00017,2026-04-02,2026,4,Abril,C005,Litware Stores,SMB,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Partner,Completado,Tarjeta,6,22.80,7.20,0.03,136.80,4.10,132.70,43.20,89.50,2026-08-05
VEN-00018,2026-06-05,2026,6,Junio,C007,Tailspin Toys,SMB,retail,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V005,Sofia Ramirez,Partner,Cancelado,Tarjeta,2,820.00,510.00,0.10,1640.00,164.00,1476.00,1020.00,456.00,2026-08-05
VEN-00019,2026-01-30,2026,1,Enero,C009,Graphic Design Institute,Corporate,education,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V003,Lucia Perez,Partner,Completado,Orden de compra,7,820.00,510.00,0.03,5740.00,172.20,5567.80,3570.00,1997.80,2026-08-05
VEN-00020,2026-02-05,2026,2,Febrero,C004,Adventure Works,Corporate,manufacturing,P003,Power BI Premium User,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V003,Lucia Perez,Enterprise Sales,Pendiente,Transferencia,12,22.80,7.20,0.08,273.60,21.89,251.71,86.40,165.31,2026-08-05
VEN-00021,2026-04-16,2026,4,Abril,C007,Tailspin Toys,SMB,retail,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V003,Lucia Perez,Partner,Cancelado,Transferencia,3,310.00,155.00,0.10,930.00,93.00,837.00,465.00,372.00,2026-08-05
VEN-00022,2026-04-06,2026,4,Abril,C009,Graphic Design Institute,Corporate,education,P007,DP-600 Exam Prep,Training,Data Days,R002,Centro,Espana,centro.manager@datadays.local,V004,Miguel Santos,Marketplace,Completado,Transferencia,6,420.00,95.00,0.10,2520.00,252.00,2268.00,570.00,1698.00,2026-08-05
VEN-00023,2026-03-21,2026,3,Marzo,C010,Blue Yonder Airlines,Enterprise,travel,P003,Power BI Premium User,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V002,Carlos Molina,Partner,Cancelado,Tarjeta,1,22.80,7.20,0.00,22.80,0.00,22.80,7.20,15.60,2026-08-05
VEN-00024,2026-04-04,2026,4,Abril,C001,Northwind Retail,Enterprise,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V003,Lucia Perez,Partner,Completado,Orden de compra,12,22.80,7.20,0.08,273.60,21.89,251.71,86.40,165.31,2026-08-05
VEN-00025,2026-04-11,2026,4,Abril,C005,Litware Stores,SMB,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V004,Miguel Santos,Online,Completado,Tarjeta,4,22.80,7.20,0.10,91.20,9.12,82.08,28.80,53.28,2026-08-05
VEN-00026,2026-06-23,2026,6,Junio,C007,Tailspin Toys,SMB,retail,P006,Data Engineering Workshop,Training,Data Days,R002,Centro,Espana,centro.manager@datadays.local,V002,Carlos Molina,Partner,Completado,Transferencia,8,680.00,180.00,0.00,5440.00,0.00,5440.00,1440.00,4000.00,2026-08-05
VEN-00027,2026-04-13,2026,4,Abril,C009,Graphic Design Institute,Corporate,education,P008,Governance Advisory,Consulting,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Partner,Cancelado,Tarjeta,12,1250.00,420.00,0.10,15000.00,1500.00,13500.00,5040.00,8460.00,2026-08-05
VEN-00028,2026-05-07,2026,5,Mayo,C007,Tailspin Toys,SMB,retail,P007,DP-600 Exam Prep,Training,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V003,Lucia Perez,Enterprise Sales,Completado,Orden de compra,1,420.00,95.00,0.15,420.00,63.00,357.00,95.00,262.00,2026-08-05
VEN-00029,2026-03-20,2026,3,Marzo,C001,Northwind Retail,Enterprise,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Cancelado,Orden de compra,3,13.70,4.10,0.03,41.10,1.23,39.87,12.30,27.57,2026-08-05
VEN-00030,2026-06-09,2026,6,Junio,C007,Tailspin Toys,SMB,retail,P004,Azure Data Lake Storage,Storage,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V004,Miguel Santos,Partner,Cancelado,Orden de compra,7,95.00,42.00,0.00,665.00,0.00,665.00,294.00,371.00,2026-08-05
VEN-00031,2026-01-28,2026,1,Enero,C007,Tailspin Toys,SMB,retail,P007,DP-600 Exam Prep,Training,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V001,Ana Torres,Marketplace,Completado,Orden de compra,7,420.00,95.00,0.05,2940.00,147.00,2793.00,665.00,2128.00,2026-08-05
VEN-00032,2026-02-12,2026,2,Febrero,C001,Northwind Retail,Enterprise,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V005,Sofia Ramirez,Marketplace,Completado,Tarjeta,11,13.70,4.10,0.08,150.70,12.06,138.64,45.10,93.54,2026-08-05
VEN-00033,2026-03-01,2026,3,Marzo,C010,Blue Yonder Airlines,Enterprise,travel,P006,Data Engineering Workshop,Training,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V002,Carlos Molina,Partner,Completado,Transferencia,11,680.00,180.00,0.15,7480.00,1122.00,6358.00,1980.00,4378.00,2026-08-05
VEN-00034,2026-01-25,2026,1,Enero,C001,Northwind Retail,Enterprise,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Enterprise Sales,Completado,Orden de compra,8,22.80,7.20,0.08,182.40,14.59,167.81,57.60,110.21,2026-08-05
VEN-00035,2026-04-02,2026,4,Abril,C003,Fabrikam Digital,Corporate,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V005,Sofia Ramirez,Online,Completado,Orden de compra,4,13.70,4.10,0.15,54.80,8.22,46.58,16.40,30.18,2026-08-05
VEN-00036,2026-04-17,2026,4,Abril,C003,Fabrikam Digital,Corporate,technology,P006,Data Engineering Workshop,Training,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V002,Carlos Molina,Online,Pendiente,Tarjeta,4,680.00,180.00,0.05,2720.00,136.00,2584.00,720.00,1864.00,2026-08-05
VEN-00037,2026-05-25,2026,5,Mayo,C010,Blue Yonder Airlines,Enterprise,travel,P003,Power BI Premium User,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Completado,Tarjeta,1,22.80,7.20,0.08,22.80,1.82,20.98,7.20,13.78,2026-08-05
VEN-00038,2026-03-30,2026,3,Marzo,C001,Northwind Retail,Enterprise,retail,P007,DP-600 Exam Prep,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V005,Sofia Ramirez,Online,Completado,Transferencia,5,420.00,95.00,0.03,2100.00,63.00,2037.00,475.00,1562.00,2026-08-05
VEN-00039,2026-03-05,2026,3,Marzo,C003,Fabrikam Digital,Corporate,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Pendiente,Orden de compra,3,13.70,4.10,0.00,41.10,0.00,41.10,12.30,28.80,2026-08-05
VEN-00040,2026-05-24,2026,5,Mayo,C008,Wide World Importers,Enterprise,distribution,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V002,Carlos Molina,Online,Pendiente,Orden de compra,6,820.00,510.00,0.10,4920.00,492.00,4428.00,3060.00,1368.00,2026-08-05
VEN-00041,2026-01-04,2026,1,Enero,C010,Blue Yonder Airlines,Enterprise,travel,P007,DP-600 Exam Prep,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V005,Sofia Ramirez,Online,Pendiente,Tarjeta,1,420.00,95.00,0.08,420.00,33.60,386.40,95.00,291.40,2026-08-05
VEN-00042,2026-01-12,2026,1,Enero,C002,Contoso Market,Enterprise,retail,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Online,Completado,Tarjeta,7,310.00,155.00,0.00,2170.00,0.00,2170.00,1085.00,1085.00,2026-08-05
VEN-00043,2026-04-19,2026,4,Abril,C003,Fabrikam Digital,Corporate,technology,P007,DP-600 Exam Prep,Training,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V002,Carlos Molina,Online,Completado,Tarjeta,10,420.00,95.00,0.08,4200.00,336.00,3864.00,950.00,2914.00,2026-08-05
VEN-00044,2026-02-07,2026,2,Febrero,C007,Tailspin Toys,SMB,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V001,Ana Torres,Marketplace,Cancelado,Transferencia,2,22.80,7.20,0.08,45.60,3.65,41.95,14.40,27.55,2026-08-05
VEN-00045,2026-05-23,2026,5,Mayo,C004,Adventure Works,Corporate,manufacturing,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Partner,Completado,Tarjeta,7,310.00,155.00,0.00,2170.00,0.00,2170.00,1085.00,1085.00,2026-08-05
VEN-00046,2026-02-19,2026,2,Febrero,C002,Contoso Market,Enterprise,retail,P006,Data Engineering Workshop,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Online,Pendiente,Transferencia,4,680.00,180.00,0.10,2720.00,272.00,2448.00,720.00,1728.00,2026-08-05
VEN-00047,2026-06-08,2026,6,Junio,C001,Northwind Retail,Enterprise,retail,P007,DP-600 Exam Prep,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V005,Sofia Ramirez,Marketplace,Completado,Transferencia,10,420.00,95.00,0.05,4200.00,210.00,3990.00,950.00,3040.00,2026-08-05
VEN-00048,2026-06-28,2026,6,Junio,C003,Fabrikam Digital,Corporate,technology,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V003,Lucia Perez,Partner,Completado,Orden de compra,9,310.00,155.00,0.08,2790.00,223.20,2566.80,1395.00,1171.80,2026-08-05
VEN-00049,2026-01-21,2026,1,Enero,C004,Adventure Works,Corporate,manufacturing,P003,Power BI Premium User,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Cancelado,Transferencia,10,22.80,7.20,0.03,228.00,6.84,221.16,72.00,149.16,2026-08-05
VEN-00050,2026-05-11,2026,5,Mayo,C002,Contoso Market,Enterprise,retail,P008,Governance Advisory,Consulting,Data Days,R002,Centro,Espana,centro.manager@datadays.local,V002,Carlos Molina,Enterprise Sales,Cancelado,Orden de compra,8,1250.00,420.00,0.05,10000.00,500.00,9500.00,3360.00,6140.00,2026-08-05
VEN-00051,2026-02-20,2026,2,Febrero,C002,Contoso Market,Enterprise,retail,P008,Governance Advisory,Consulting,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V001,Ana Torres,Marketplace,Cancelado,Transferencia,3,1250.00,420.00,0.00,3750.00,0.00,3750.00,1260.00,2490.00,2026-08-05
VEN-00052,2026-03-29,2026,3,Marzo,C002,Contoso Market,Enterprise,retail,P008,Governance Advisory,Consulting,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V005,Sofia Ramirez,Online,Cancelado,Tarjeta,3,1250.00,420.00,0.08,3750.00,300.00,3450.00,1260.00,2190.00,2026-08-05
VEN-00053,2026-04-25,2026,4,Abril,C010,Blue Yonder Airlines,Enterprise,travel,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V005,Sofia Ramirez,Online,Completado,Transferencia,11,310.00,155.00,0.00,3410.00,0.00,3410.00,1705.00,1705.00,2026-08-05
VEN-00054,2026-05-27,2026,5,Mayo,C008,Wide World Importers,Enterprise,distribution,P002,Power BI Pro,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V003,Lucia Perez,Partner,Completado,Transferencia,4,13.70,4.10,0.10,54.80,5.48,49.32,16.40,32.92,2026-08-05
VEN-00055,2026-01-24,2026,1,Enero,C009,Graphic Design Institute,Corporate,education,P008,Governance Advisory,Consulting,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Partner,Pendiente,Transferencia,12,1250.00,420.00,0.10,15000.00,1500.00,13500.00,5040.00,8460.00,2026-08-05
VEN-00056,2026-02-17,2026,2,Febrero,C004,Adventure Works,Corporate,manufacturing,P004,Azure Data Lake Storage,Storage,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V004,Miguel Santos,Online,Pendiente,Transferencia,11,95.00,42.00,0.08,1045.00,83.60,961.40,462.00,499.40,2026-08-05
VEN-00057,2026-03-14,2026,3,Marzo,C009,Graphic Design Institute,Corporate,education,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V001,Ana Torres,Partner,Completado,Tarjeta,4,820.00,510.00,0.03,3280.00,98.40,3181.60,2040.00,1141.60,2026-08-05
VEN-00058,2026-04-15,2026,4,Abril,C006,Proseware Labs,SMB,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V004,Miguel Santos,Marketplace,Completado,Tarjeta,2,13.70,4.10,0.03,27.40,0.82,26.58,8.20,18.38,2026-08-05
VEN-00059,2026-05-19,2026,5,Mayo,C003,Fabrikam Digital,Corporate,technology,P004,Azure Data Lake Storage,Storage,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V002,Carlos Molina,Marketplace,Completado,Orden de compra,1,95.00,42.00,0.00,95.00,0.00,95.00,42.00,53.00,2026-08-05
VEN-00060,2026-02-02,2026,2,Febrero,C002,Contoso Market,Enterprise,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V003,Lucia Perez,Enterprise Sales,Completado,Tarjeta,7,13.70,4.10,0.15,95.90,14.38,81.51,28.70,52.81,2026-08-05
VEN-00061,2026-04-25,2026,4,Abril,C001,Northwind Retail,Enterprise,retail,P003,Power BI Premium User,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V003,Lucia Perez,Partner,Cancelado,Orden de compra,6,22.80,7.20,0.00,136.80,0.00,136.80,43.20,93.60,2026-08-05
VEN-00062,2026-06-24,2026,6,Junio,C007,Tailspin Toys,SMB,retail,P006,Data Engineering Workshop,Training,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V001,Ana Torres,Enterprise Sales,Pendiente,Tarjeta,1,680.00,180.00,0.00,680.00,0.00,680.00,180.00,500.00,2026-08-05
VEN-00063,2026-02-05,2026,2,Febrero,C003,Fabrikam Digital,Corporate,technology,P003,Power BI Premium User,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V004,Miguel Santos,Online,Pendiente,Orden de compra,8,22.80,7.20,0.15,182.40,27.36,155.04,57.60,97.44,2026-08-05
VEN-00064,2026-06-24,2026,6,Junio,C005,Litware Stores,SMB,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Marketplace,Completado,Orden de compra,12,13.70,4.10,0.00,164.40,0.00,164.40,49.20,115.20,2026-08-05
VEN-00065,2026-06-19,2026,6,Junio,C007,Tailspin Toys,SMB,retail,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Enterprise Sales,Pendiente,Tarjeta,4,310.00,155.00,0.08,1240.00,99.20,1140.80,620.00,520.80,2026-08-05
VEN-00066,2026-03-09,2026,3,Marzo,C001,Northwind Retail,Enterprise,retail,P004,Azure Data Lake Storage,Storage,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Marketplace,Completado,Orden de compra,9,95.00,42.00,0.00,855.00,0.00,855.00,378.00,477.00,2026-08-05
VEN-00067,2026-01-03,2026,1,Enero,C005,Litware Stores,SMB,retail,P006,Data Engineering Workshop,Training,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V001,Ana Torres,Partner,Completado,Tarjeta,7,680.00,180.00,0.15,4760.00,714.00,4046.00,1260.00,2786.00,2026-08-05
VEN-00068,2026-01-01,2026,1,Enero,C001,Northwind Retail,Enterprise,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V003,Lucia Perez,Partner,Pendiente,Orden de compra,8,13.70,4.10,0.08,109.60,8.77,100.83,32.80,68.03,2026-08-05
VEN-00069,2026-01-28,2026,1,Enero,C004,Adventure Works,Corporate,manufacturing,P008,Governance Advisory,Consulting,Data Days,R002,Centro,Espana,centro.manager@datadays.local,V002,Carlos Molina,Enterprise Sales,Pendiente,Orden de compra,7,1250.00,420.00,0.15,8750.00,1312.50,7437.50,2940.00,4497.50,2026-08-05
VEN-00070,2026-05-29,2026,5,Mayo,C003,Fabrikam Digital,Corporate,technology,P004,Azure Data Lake Storage,Storage,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Completado,Transferencia,6,95.00,42.00,0.03,570.00,17.10,552.90,252.00,300.90,2026-08-05
VEN-00071,2026-03-23,2026,3,Marzo,C010,Blue Yonder Airlines,Enterprise,travel,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Online,Cancelado,Transferencia,1,820.00,510.00,0.10,820.00,82.00,738.00,510.00,228.00,2026-08-05
VEN-00072,2026-03-02,2026,3,Marzo,C009,Graphic Design Institute,Corporate,education,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V001,Ana Torres,Partner,Completado,Transferencia,7,820.00,510.00,0.00,5740.00,0.00,5740.00,3570.00,2170.00,2026-08-05
VEN-00073,2026-02-24,2026,2,Febrero,C007,Tailspin Toys,SMB,retail,P006,Data Engineering Workshop,Training,Data Days,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Enterprise Sales,Pendiente,Orden de compra,2,680.00,180.00,0.00,1360.00,0.00,1360.00,360.00,1000.00,2026-08-05
VEN-00074,2026-05-30,2026,5,Mayo,C003,Fabrikam Digital,Corporate,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V002,Carlos Molina,Marketplace,Cancelado,Tarjeta,2,13.70,4.10,0.03,27.40,0.82,26.58,8.20,18.38,2026-08-05
VEN-00075,2026-05-23,2026,5,Mayo,C001,Northwind Retail,Enterprise,retail,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Marketplace,Cancelado,Orden de compra,8,820.00,510.00,0.15,6560.00,984.00,5576.00,4080.00,1496.00,2026-08-05
VEN-00076,2026-04-29,2026,4,Abril,C009,Graphic Design Institute,Corporate,education,P004,Azure Data Lake Storage,Storage,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V003,Lucia Perez,Marketplace,Cancelado,Transferencia,2,95.00,42.00,0.05,190.00,9.50,180.50,84.00,96.50,2026-08-05
VEN-00077,2026-06-14,2026,6,Junio,C002,Contoso Market,Enterprise,retail,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V003,Lucia Perez,Online,Completado,Tarjeta,4,820.00,510.00,0.03,3280.00,98.40,3181.60,2040.00,1141.60,2026-08-05
VEN-00078,2026-06-20,2026,6,Junio,C005,Litware Stores,SMB,retail,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V001,Ana Torres,Partner,Completado,Transferencia,4,310.00,155.00,0.05,1240.00,62.00,1178.00,620.00,558.00,2026-08-05
VEN-00079,2026-03-05,2026,3,Marzo,C004,Adventure Works,Corporate,manufacturing,P008,Governance Advisory,Consulting,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V003,Lucia Perez,Marketplace,Completado,Transferencia,9,1250.00,420.00,0.05,11250.00,562.50,10687.50,3780.00,6907.50,2026-08-05
VEN-00080,2026-01-11,2026,1,Enero,C007,Tailspin Toys,SMB,retail,P004,Azure Data Lake Storage,Storage,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V004,Miguel Santos,Online,Completado,Transferencia,12,95.00,42.00,0.15,1140.00,171.00,969.00,504.00,465.00,2026-08-05
VEN-00081,2026-03-07,2026,3,Marzo,C008,Wide World Importers,Enterprise,distribution,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V004,Miguel Santos,Marketplace,Completado,Transferencia,6,310.00,155.00,0.08,1860.00,148.80,1711.20,930.00,781.20,2026-08-05
VEN-00082,2026-01-30,2026,1,Enero,C006,Proseware Labs,SMB,technology,P006,Data Engineering Workshop,Training,Data Days,R001,Norte,Espana,norte.manager@datadays.local,V002,Carlos Molina,Online,Completado,Transferencia,10,680.00,180.00,0.08,6800.00,544.00,6256.00,1800.00,4456.00,2026-08-05
VEN-00083,2026-02-12,2026,2,Febrero,C003,Fabrikam Digital,Corporate,technology,P002,Power BI Pro,Business Intelligence,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V004,Miguel Santos,Online,Completado,Transferencia,7,13.70,4.10,0.00,95.90,0.00,95.90,28.70,67.20,2026-08-05
